split,channel,count,mean,std,min,max
train,T5,5768000,-6.122249465169887e-09,192.59785463499446,-249136.359375,209631.78125
train,T6,5768000,-3.6465328326018764e-10,93.50841095493699,-35423.90234375,208975.140625
train,PO3,5768000,-2.0338333171556766e-08,161.77725479315325,-217859.78125,210475.703125
train,PO4,5768000,-1.1781633177606091e-08,696.9401950890755,-318219.21875,209917.734375
train,OZ,5768000,3.913628842706851e-09,93.81351398613384,-35396.0625,208939.234375
train,O1,5768000,-1.0482869739095252e-10,23.284903447344895,-5777.25390625,5943.59521484375
train,O2,5768000,-2.8699546346022167e-08,887.2701660045254,-320807.78125,213965.53125
val,FP1,1944800,-3.3977942121401156e-09,7.348779421510381,-93.4170150756836,95.57372283935547
val,FP2,1944800,-3.0838074979045083e-09,7.9856409923174025,-172.46246337890625,99.68360900878906
val,FZ,1944800,-2.8353462839295156e-07,24.093869140185927,-2033.6754150390625,2069.63427734375
val,F3,1944800,3.7493200178526905e-11,7.859727586858598,-264.9668884277344,121.6893310546875
val,F4,1944800,2.3239122558294658e-10,5.0366005645762675,-90.822998046875,79.7181396484375
val,F7,1944800,-1.3056252875880893e-09,10.31410210286641,-230.57725524902344,209.1549072265625
val,F8,1944800,2.647551201596142e-09,6.844717895178599,-222.7386474609375,114.61769104003906
val,FC1,1944800,1.8392244087488908e-09,4.932566229476231,-98.45958709716797,109.0609359741211
val,FC2,1944800,-6.015825206199299e-06,4.174008613853948,-97.65503692626953,97.11642456054688
val,FC5,1944800,-7.261061402271935e-10,4.620142530839193,-59.37782669067383,77.6281509399414
val,FC6,1944800,-9.737154847676475e-10,4.178691445064128,-194.5320587158203,179.6792449951172
val,CZ,1944800,-1.374161177224027e-09,3.501777481611965,-48.890750885009766,57.79193115234375
val,C3,1944800,-7.673499453221741e-10,4.650237315338115,-218.74766540527344,146.3896942138672
val,C4,1944800,-2.136162649663848e-07,29.425505646603693,-2320.06298828125,2361.52880859375
val,T3,1944800,-1.400092228685245e-09,4.111781864508966,-167.60562133789062,77.46745300292969
val,T4,1944800,7.180821195818643e-10,5.348040530800261,-162.1109161376953,179.7262420654297
val,A1,1944800,2.2191412396693954e-10,8.598313618639093,-373.61749267578125,362.8861999511719
val,A2,1944800,-9.763767568336151e-07,52.10815739219834,-4531.42236328125,4456.7119140625
val,CP1,1944800,5.1339002030576984e-08,3.0395739552883896,-159.9187774658203,161.56094360351562
val,CP2,1944800,1.4229598447925432e-09,12.045334616710878,-1643.8994140625,1024.1077880859375
val,CP5,1944800,1.4822701568470248e-10,3.2038566673417157,-35.059539794921875,50.98750686645508
val,CP6,1944800,1.0635383128297205e-09,6.5173262640303715,-778.72216796875,444.8847351074219
val,PZ,1944800,-2.177894208817078e-09,1.7337803355864476,-134.2525634765625,53.05403518676758
val,P3,1944800,6.565861307367688e-11,3.960559299273124,-83.27662658691406,62.628334045410156
val,P4,1944800,7.655330361486701e-10,3.3224938478440214,-44.350589752197266,40.93947219848633
val,T5,1944800,-3.3866497434018055e-10,5.266002369638606,-114.60176086425781,155.22727966308594
val,T6,1944800,-4.7982828421100264e-09,6.00913673335706,-308.2438659667969,209.74681091308594
val,PO3,1944800,6.284760648241578e-10,6.677002946925228,-184.3840789794922,177.2808837890625
val,PO4,1944800,-4.5720366427124987e-10,3.534593312648602,-75.32918548583984,76.30773162841797
val,OZ,1944800,-3.4375246012216256e-09,20.452089185156524,-1986.627197265625,880.0222778320312
val,O1,1944800,-1.5631735021964586e-09,18.269359202720363,-1053.810302734375,505.554443359375
val,O2,1944800,-3.1115812008583525e-07,27.51273800959981,-2249.955322265625,2222.858154296875
test,FP1,1877600,-4.142831883472159e-09,5.556341880421806,-74.82426452636719,218.58287048339844
test,FP2,1877600,-5.284806642208663e-09,7.921602495309197,-4382.7666015625,3014.850341796875
test,FZ,1877600,-2.460989021998906e-09,3.3531512209790257,-79.17715454101562,54.06002426147461
test,F3,1877600,-3.833140901240779e-09,4.744088960161437,-108.11858367919922,102.49366760253906
test,F4,1877600,-3.1395107836559036e-09,2.6363244834214337,-59.819801330566406,55.83827590942383
test,F7,1877600,4.486644401038958e-10,4.020293498533268,-145.81663513183594,93.43576049804688
test,F8,1877600,1.9329623609269906e-08,6.642806925895966,-3578.68359375,2459.1279296875
test,FC1,1877600,-4.777295354460013e-10,3.1611037945299687,-160.78903198242188,110.84551239013672
test,FC2,1877600,-6.694154769809648e-06,2.828418394284735,-68.9859848022461,56.07017135620117
test,FC5,1877600,-5.078673078354215e-10,3.6523095625710438,-1214.478515625,838.2294921875
test,FC6,1877600,1.9907746457754736e-09,5.4833424063099505,-2636.326416015625,1815.696533203125
test,CZ,1877600,-8.80080017368868e-10,3.0365046478370825,-61.46590042114258,48.02949905395508
test,C3,1877600,-3.490687230805279e-09,3.5064255742428485,-82.40118408203125,117.63604736328125
test,C4,1877600,-1.7043844845177648e-08,3.0338611743651573,-1213.9705810546875,839.2042236328125
test,T3,1877600,5.38056121488563e-10,4.60143698572916,-113.9473648071289,105.62385559082031
test,T4,1877600,-4.121944581085954e-10,3.8440962520209943,-143.49610900878906,111.62432098388672
test,A1,1877600,6.524242895722838e-10,3.6306504205601304,-306.8331604003906,115.25626373291016
test,A2,1877600,1.6674614827682924e-09,4.382887256419984,-859.7228393554688,589.1631469726562
test,CP1,1877600,-1.1651077556889605e-09,2.987721561769957,-108.49346923828125,104.41326904296875
test,CP2,1877600,1.012037875342798e-09,2.1343591371224204,-34.54056167602539,48.68125915527344
test,CP5,1877600,-9.51279575265361e-10,2.6640823512315905,-55.3599853515625,96.32321166992188
test,CP6,1877600,-1.3678739057222508e-09,4.154231499900133,-171.1571807861328,134.03077697753906
test,PZ,1877600,1.7983499314421981e-10,2.4242737193369988,-52.60661697387695,52.4151496887207
test,P3,1877600,1.788504090369396e-09,3.373278845694763,-77.34827423095703,103.7207260131836
test,P4,1877600,3.1664389900195036e-09,4.228894269518573,-222.6751251220703,128.6472625732422
test,T5,1877600,-5.886700712268465e-11,2.9714956849957668,-51.72938919067383,47.95636749267578
test,T6,1877600,-7.129196462756889e-10,4.469763415006817,-195.93511962890625,151.05821228027344
test,PO3,1877600,-3.7731718461495184e-10,4.099302921350851,-114.91217041015625,115.4880599975586
test,PO4,1877600,-1.613117258233385e-10,13.412685164114823,-536.2152709960938,395.78717041015625
test,OZ,1877600,7.127200683194857e-10,10.695033313103384,-303.68017578125,266.30682373046875
test,O1,1877600,1.7576243280668249e-10,8.284646280868039,-230.4984893798828,215.7742156982422
test,O2,1877600,3.1010794666756336e-09,12.076997095744499,-425.0892639160156,282.0129699707031
